1,신한카드 Hi-Point,신한카드,"전국가맹점0.2~2.0%적립
특정가맹점1~5%적립
에이치디현대오일뱅크60원/L적립",https://d1c5n4ri2guedi.cloudfront.net/card/1/card_img/20083/1card.png
2,신한카드 Love,신한카드,"백화점/할인점5%할인
스타벅스20%할인
GS칼텍스60원/L할인",https://d1c5n4ri2guedi.cloudfront.net/card/2/card_img/20084/2card.png
3,신한카드 Lady,신한카드,"3대백화점5%할인
패밀리레스토랑20%할인
놀이공원30~50%할인",https://d1c5n4ri2guedi.cloudfront.net/card/3/card_img/20085/3card.png
4,SK에너지 신한카드The you,신한카드,"SK주유소100원/L할인
지하철,버스,택시3~7%할인
놀이공원30~50%할인",https://d1c5n4ri2guedi.cloudfront.net/card/4/card_img/20086/4card.png
5,GS칼텍스 신한카드Dream 100,신한카드,"GS칼텍스100원/L할인
버스,지하철,택시3~7%할인
놀이공원30~50%할인",https://d1c5n4ri2guedi.cloudfront.net/card/5/card_img/20087/5card.png
6,신한카드 Cube,신한카드,"선택서비스5%할인
1천원미만의잔돈할인
모든주유소60원/L할인",https://d1c5n4ri2guedi.cloudfront.net/card/6/card_img/20088/6card.png
7,신한카드 23.5°,신한카드,"버스,지하철200원할인
마이신한포인트 1%적립
스타벅스4,000원할인",https://d1c5n4ri2guedi.cloudfront.net/card/7/card_img/20089/7card.png
8,신한카드 The CLASSIC-Y,신한카드,"Gift Option매년1회선택이용
마이신한포인트0.7~5%적립
GS칼텍스60원/L할인",https://d1c5n4ri2guedi.cloudfront.net/card/8/card_img/20090/8card.png
9,신한카드 아이행복,신한카드,"병원/약국5%할인
대형마트 5%할인
놀이공원30~50%할인",https://d1c5n4ri2guedi.cloudfront.net/card/9/card_img/20091/9card.png
